Transcription factor,Promoter,GENE NAME,Reg_ATP,Tar_ATP,BDeu
AT5G53950,AT5G44030,"CESA4,IRX5,NWS2",6.0,6.0,-9.88751059813
AT5G47220,AT5G44030,"CESA4,IRX5,NWS2",3.0,6.0,
AT5G39610,AT5G44030,"CESA4,IRX5,NWS2",3.0,6.0,
AT5G12870,AT5G44030,"CESA4,IRX5,NWS2",5.0,6.0,-56.2411160811
AT4G37260,AT5G44030,"CESA4,IRX5,NWS2",6.0,6.0,-9.88751059813
AT1G75490,AT5G44030,"CESA4,IRX5,NWS2",6.0,6.0,-9.88751059813
AT1G56650,AT5G44030,"CESA4,IRX5,NWS2",5.0,6.0,-56.2411160811
