Target,Source1,Source2,BDeu
AT2G22420,AT4G28110,AT5G47230,-88.2973719331323
AT2G22420,AT1G36060,AT5G47230,-95.0006827382236
AT2G22420,AT1G43160,AT5G47230,-95.0006827382236
AT2G22420,AT2G23340,AT5G47230,-95.0006827382236
AT2G22420,AT3G03660,AT5G47230,-95.0006827382236
AT2G22420,AT3G58190,AT5G47230,-95.0006827382236
AT2G22420,AT4G28110,AT1G79840,-96.4145650558587
AT2G22420,AT4G28110,AT1G44830,-96.7140815859569
AT2G22420,AT5G47230,AT2G47890,-100.177397283005
AT2G22420,AT5G47230,AT4G09460,-101.563691644124
AT2G22420,AT3G60390,AT1G44830,-103.03959816393
AT2G22420,AT3G60390,AT1G79840,-103.03959816393
AT2G22420,AT5G47230,AT5G64750,-105.113924604943
AT2G22420,AT5G47230,AT1G44830,-106.143544022124
AT2G22420,AT5G47230,AT1G49475,-106.143544022124
AT2G22420,AT5G47230,AT1G77450,-106.143544022124
AT2G22420,AT5G47230,AT4G29930,-106.143544022124
AT2G22420,AT5G47230,AT5G17490,-106.143544022124
AT2G22420,AT5G47230,AT5G51790,-106.143544022124
AT2G22420,AT5G47230,AT1G71030,-106.143544022124
AT2G22420,AT5G47230,AT1G79840,-106.143544022124
AT2G22420,AT5G47230,AT2G25900,-106.143544022124
AT2G22420,AT5G47230,AT3G01970,-106.143544022124
AT2G22420,AT5G47230,AT3G16770,-106.143544022124
AT2G22420,AT5G47230,AT3G60530,-106.143544022124
AT2G22420,AT5G47230,AT4G00180,-106.143544022124
AT2G22420,AT5G47230,AT4G00730,-106.143544022124
AT2G22420,AT5G47230,AT5G12330,-106.143544022124
AT2G22420,AT3G58190,AT1G79840,-107.053661894887
AT2G22420,AT1G36060,AT1G79840,-107.053661894887
AT2G22420,AT1G43160,AT1G79840,-107.053661894887
AT2G22420,AT2G23340,AT1G79840,-107.053661894887
AT2G22420,AT3G03660,AT1G79840,-107.053661894887
AT2G22420,AT1G06180,AT1G44830,-107.976125485868
AT2G22420,AT1G06180,AT1G79840,-107.976125485868
AT2G22420,AT5G17810,AT5G57520,-108.395939370588
AT2G22420,AT5G67060,AT1G79840,-108.395939370588
AT2G22420,AT1G36060,AT1G44830,-108.439956256005
AT2G22420,AT1G43160,AT1G44830,-108.439956256005
AT2G22420,AT2G23340,AT1G44830,-108.439956256005
AT2G22420,AT3G03660,AT1G44830,-108.439956256005
AT2G22420,AT3G58190,AT1G44830,-108.439956256005
AT2G22420,AT1G79840,AT5G17810,-109.249508112255
AT2G22420,AT5G67060,AT1G44830,-109.574594366929
AT2G22420,AT1G79840,AT5G57520,-109.980401296951
AT2G22420,AT1G44830,AT5G17810,-110.118545959278
AT2G22420,AT1G44830,AT5G57520,-111.253366972763
AT2G22420,AT5G41570,AT1G44830,-111.990189216825
AT2G22420,AT5G41570,AT1G79840,-111.990189216825
AT2G22420,AT5G67060,AT5G17810,-113.775756715803
AT2G22420,AT1G79840,AT2G47890,-116.041974164625
AT2G22420,AT1G44830,AT2G47890,-117.140586453293
AT2G22420,AT1G44830,AT4G09460,-117.140586453293
AT2G22420,AT1G79840,AT4G09460,-117.639577619411
AT2G22420,AT1G44830,AT1G49475,-118.170205870473
AT2G22420,AT1G44830,AT1G77450,-118.170205870473
AT2G22420,AT1G44830,AT4G29930,-118.170205870473
AT2G22420,AT1G44830,AT5G17490,-118.170205870473
AT2G22420,AT1G44830,AT5G51790,-118.170205870473
AT2G22420,AT1G44830,AT1G71030,-118.170205870473
AT2G22420,AT1G44830,AT2G25900,-118.170205870473
AT2G22420,AT1G44830,AT3G01970,-118.170205870473
AT2G22420,AT1G44830,AT3G16770,-118.170205870473
AT2G22420,AT1G44830,AT3G60530,-118.170205870473
AT2G22420,AT1G44830,AT4G00180,-118.170205870473
AT2G22420,AT1G44830,AT4G00730,-118.170205870473
AT2G22420,AT1G44830,AT5G12330,-118.170205870473
AT2G22420,AT1G49475,AT1G79840,-118.669197036592
AT2G22420,AT1G71030,AT1G79840,-118.669197036592
AT2G22420,AT1G77450,AT1G79840,-118.669197036592
AT2G22420,AT1G79840,AT2G25900,-118.669197036592
AT2G22420,AT1G79840,AT3G01970,-118.669197036592
AT2G22420,AT1G79840,AT3G16770,-118.669197036592
AT2G22420,AT1G79840,AT3G60530,-118.669197036592
AT2G22420,AT1G79840,AT4G00180,-118.669197036592
AT2G22420,AT1G79840,AT4G00730,-118.669197036592
AT2G22420,AT1G79840,AT4G29930,-118.669197036592
AT2G22420,AT1G79840,AT5G12330,-118.669197036592
AT2G22420,AT1G79840,AT5G17490,-118.669197036592
AT2G22420,AT1G79840,AT5G51790,-118.669197036592
AT2G22420,AT2G45160,AT4G28110,-119.789543724109
AT2G22420,AT1G44830,AT5G64750,-120.055897159534
AT2G22420,AT5G67060,AT5G57520,-120.055897159534
AT2G22420,AT1G44830,AT3G58710,-120.055897159534
AT2G22420,AT3G49930,AT4G28110,-120.202388939517
AT2G22420,AT1G79840,AT5G64750,-120.554888325653
AT2G22420,AT1G79840,AT3G58710,-120.554888325653
AT2G22420,AT1G44830,AT1G79840,-120.924935006557
AT2G22420,AT4G28110,AT1G06180,-121.147667208253
AT2G22420,AT1G74840,AT5G47230,-122.140680857684
AT2G22420,AT5G47230,AT1G47760,-122.140680857684
AT2G22420,AT5G47230,AT3G15030,-122.140680857684
AT2G22420,AT5G47230,AT5G53660,-122.140680857684
AT2G22420,AT4G28110,AT5G17810,-122.52494375814
AT2G22420,AT4G28110,AT3G58710,-123.329966135378
AT2G22420,AT4G28110,AT3G02550,-123.997795507951
AT2G22420,AT3G50330,AT5G47230,-124.166055178084
AT2G22420,AT5G03740,AT5G47230,-124.166055178084
AT2G22420,AT3G06740,AT5G47230,-124.166055178084
AT2G22420,AT3G61630,AT5G47230,-124.166055178084
AT2G22420,AT4G37540,AT5G47230,-124.166055178084
AT2G22420,AT5G47230,AT1G17310,-124.166055178084
AT2G22420,AT5G47230,AT2G43140,-124.166055178084
AT2G22420,AT4G28110,AT3G56400,-124.360122465317
AT2G22420,AT5G39610,AT1G79840,-124.360789728859
AT2G22420,AT5G39610,AT1G44830,-124.434897701013
AT2G22420,AT4G28110,AT5G64750,-124.682163000859
AT2G22420,AT4G16750,AT1G79840,-124.786706856613
AT2G22420,AT4G28110,AT5G44260,-125.157853462469
AT2G22420,AT5G53980,AT1G79840,-125.327271614419
AT2G22420,AT5G06710,AT1G79840,-125.361659732746
AT2G22420,AT5G06710,AT1G44830,-125.441702440419
AT2G22420,AT1G42990,AT5G47230,-125.593171533719
AT2G22420,AT4G11140,AT5G47230,-125.593171533719
AT2G22420,AT4G17500,AT5G47230,-125.593171533719
AT2G22420,AT4G31550,AT5G47230,-125.593171533719
AT2G22420,AT5G47230,AT5G47640,-125.593171533719
AT2G22420,AT5G47230,AT4G05100,-125.593171533719
AT2G22420,AT5G47230,AT5G51780,-125.593171533719
AT2G22420,AT5G47230,AT5G48890,-125.593171533719
AT2G22420,AT5G53980,AT1G44830,-126.020418794978
AT2G22420,AT5G13910,AT4G28110,-126.06091015633
AT2G22420,AT4G16750,AT1G44830,-126.085989840742
AT2G22420,AT4G28110,AT5G39610,-126.486989409748
AT2G22420,AT4G28110,AT1G49475,-127.268843361874
AT2G22420,AT4G28110,AT1G77450,-127.268843361874
AT2G22420,AT4G28110,AT4G29930,-127.268843361874
AT2G22420,AT4G28110,AT5G17490,-127.268843361874
AT2G22420,AT4G28110,AT5G51790,-127.268843361874
AT2G22420,AT4G28110,AT1G71030,-127.268843361874
AT2G22420,AT4G28110,AT2G25900,-127.268843361874
AT2G22420,AT4G28110,AT3G01970,-127.268843361874
AT2G22420,AT4G28110,AT3G16770,-127.268843361874
AT2G22420,AT4G28110,AT3G60530,-127.268843361874
AT2G22420,AT4G28110,AT4G00180,-127.268843361874
AT2G22420,AT4G28110,AT4G00730,-127.268843361874
AT2G22420,AT4G28110,AT5G12330,-127.268843361874
AT2G22420,AT3G15210,AT5G47230,-127.589271427294
AT2G22420,AT3G58190,AT3G02550,-127.743422107129
AT2G22420,AT1G36060,AT3G02550,-127.743422107129
AT2G22420,AT1G43160,AT3G02550,-127.743422107129
AT2G22420,AT2G23340,AT3G02550,-127.743422107129
AT2G22420,AT3G03660,AT3G02550,-127.743422107129
AT2G22420,AT1G36060,AT5G47220,-127.865903663561
AT2G22420,AT1G43160,AT5G47220,-127.865903663561
AT2G22420,AT2G23340,AT5G47220,-127.865903663561
AT2G22420,AT3G03660,AT5G47220,-127.865903663561
AT2G22420,AT3G58190,AT5G47220,-127.865903663561
AT2G22420,AT1G36060,AT1G06180,-127.968761049001
AT2G22420,AT1G43160,AT1G06180,-127.968761049001
AT2G22420,AT2G23340,AT1G06180,-127.968761049001
AT2G22420,AT3G03660,AT1G06180,-127.968761049001
AT2G22420,AT3G58190,AT1G06180,-127.968761049001
AT2G22420,AT1G67100,AT4G28110,-128.307736415836
AT2G22420,AT1G25560,AT1G79840,-128.472120271952
AT2G22420,AT2G45160,AT1G79840,-128.59641798863
AT2G22420,AT4G16750,AT4G28110,-128.599953643463
AT2G22420,AT1G52890,AT3G60390,-128.648743807632
AT2G22420,AT1G68840,AT1G79840,-128.691761192716
AT2G22420,AT1G36060,AT5G17810,-128.721627464271
AT2G22420,AT1G43160,AT5G17810,-128.721627464271
AT2G22420,AT2G23340,AT5G17810,-128.721627464271
AT2G22420,AT3G03660,AT5G17810,-128.721627464271
AT2G22420,AT3G58190,AT5G17810,-128.721627464271
AT2G22420,AT3G60390,AT3G58710,-128.816058909394
AT2G22420,AT5G44260,AT1G79840,-128.889586936048
AT2G22420,AT5G47230,AT3G56400,-128.927775124576
AT2G22420,AT5G44260,AT1G44830,-129.097226300826
AT2G22420,AT3G10040,AT1G79840,-129.184237677814
AT2G22420,AT4G28110,AT5G57520,-129.253095489399
AT2G22420,AT1G68840,AT1G44830,-129.297896996286
AT2G22420,AT1G25560,AT1G44830,-129.319418132339
AT2G22420,AT5G47230,AT5G57520,-129.355055410117
AT2G22420,AT2G45160,AT1G44830,-129.637871863457
