Target,Source,BDeu
AT5G15630,AT1G36060,-64.9343774483227
AT5G15630,AT1G43160,-64.9343774483227
AT5G15630,AT2G23340,-64.9343774483227
AT5G15630,AT3G03660,-64.9343774483227
AT5G15630,AT3G58190,-64.9343774483227
AT5G15630,AT1G74840,-64.9694687681339
AT5G15630,AT3G06740,-68.3389174514493
AT5G15630,AT3G61630,-68.3389174514493
AT5G15630,AT4G37540,-68.3389174514493
AT5G15630,AT3G50330,-71.8046533542167
AT5G15630,AT5G03740,-71.8046533542167
AT5G15630,AT1G64380,-73.2466583223575
AT5G15630,AT4G11140,-74.4809548569889
AT5G15630,AT5G47640,-74.4809548569889
AT5G15630,AT1G42990,-77.253543579213
AT5G15630,AT4G17500,-77.253543579213
AT5G15630,AT4G31550,-77.253543579213
AT5G15630,AT5G41570,-96.8854375000351
AT5G15630,AT5G39610,-99.439257879204
AT5G15630,AT5G44260,-100.838840186596
AT5G15630,AT3G15210,-106.978894849306
AT5G15630,AT2G28550,-109.212487070804
AT5G15630,AT5G10970,-109.212487070804
AT5G15630,AT5G08330,-109.212487070804
AT5G15630,AT1G57560,-109.212487070804
AT5G15630,AT1G67100,-127.88958314282
AT5G15630,AT5G06710,-132.130830834599
AT5G15630,AT5G60850,-132.693564711636
AT5G15630,AT2G46970,-132.770525752771
AT5G15630,AT5G23280,-138.578697304466
AT5G15630,AT5G53980,-155.351233090795
AT5G15630,AT5G43170,-156.135352049559
AT5G15630,AT4G28110,-156.602431584609
AT5G15630,AT3G60390,-157.499667503955
AT5G15630,AT3G19580,-159.873021667832
AT5G15630,AT4G16750,-161.074522690366
AT5G15630,AT5G13910,-161.60024873055
AT5G15630,AT3G25730,-165.148180194369
AT5G15630,AT1G68840,-172.929043609426
AT5G15630,AT2G45160,-177.834281897489
AT5G15630,AT3G49930,-180.838888039689
AT5G15630,AT1G52890,-189.010894107416
AT5G15630,AT5G67060,-192.920700872544
AT5G15630,AT1G28370,-193.957411844334
AT5G15630,AT3G10040,-198.205071315331
AT5G15630,AT1G25560,-199.320373838409
AT5G15630,AT5G47230,-199.442585922825
AT5G15630,AT5G47220,-204.355698579216
AT5G15630,AT3G23240,-213.629398285812
