Target,Source1,Source2,BDeu
AT5G15630,AT1G25560,AT1G36060,-56.4950452138674
AT5G15630,AT1G25560,AT1G43160,-56.4950452138674
AT5G15630,AT1G25560,AT2G23340,-56.4950452138674
AT5G15630,AT1G25560,AT3G03660,-56.4950452138674
AT5G15630,AT1G25560,AT3G58190,-56.4950452138674
AT5G15630,AT4G28110,AT5G39610,-57.1881923944262
AT5G15630,AT1G74840,AT5G39610,-57.1881923944262
AT5G15630,AT1G74840,AT5G44260,-57.37051395122
AT5G15630,AT1G74840,AT5G41570,-57.930129739155
AT5G15630,AT1G36060,AT1G74840,-58.2178118116067
AT5G15630,AT1G43160,AT1G74840,-58.2178118116067
AT5G15630,AT1G74840,AT2G23340,-58.2178118116067
AT5G15630,AT1G74840,AT3G03660,-58.2178118116067
AT5G15630,AT1G64380,AT1G74840,-58.2178118116067
AT5G15630,AT1G74840,AT3G58190,-58.2178118116067
AT5G15630,AT3G50330,AT5G39610,-59.5860876672145
AT5G15630,AT5G03740,AT5G39610,-59.5860876672145
AT5G15630,AT3G06740,AT5G39610,-59.5860876672145
AT5G15630,AT3G61630,AT5G39610,-59.5860876672145
AT5G15630,AT4G37540,AT5G39610,-59.5860876672145
AT5G15630,AT4G11140,AT5G39610,-61.3778471364379
AT5G15630,AT5G39610,AT5G47640,-61.3778471364379
AT5G15630,AT1G42990,AT5G39610,-61.3778471364379
AT5G15630,AT4G17500,AT5G39610,-61.3778471364379
AT5G15630,AT4G31550,AT5G39610,-61.3778471364379
AT5G15630,AT3G50330,AT1G64380,-61.5851076415824
AT5G15630,AT5G03740,AT1G64380,-61.5851076415824
AT5G15630,AT1G64380,AT3G06740,-61.5851076415824
AT5G15630,AT1G64380,AT3G61630,-61.5851076415824
AT5G15630,AT1G64380,AT4G37540,-61.5851076415824
AT5G15630,AT5G23280,AT5G41570,-61.6190091932534
AT5G15630,AT1G64380,AT3G60390,-62.0709943169959
AT5G15630,AT2G28550,AT5G39610,-62.4764594251036
AT5G15630,AT5G10970,AT5G39610,-62.4764594251036
AT5G15630,AT1G57560,AT5G39610,-62.4764594251036
AT5G15630,AT5G08330,AT5G39610,-62.4764594251036
AT5G15630,AT1G64380,AT5G47640,-64.2931578426794
AT5G15630,AT5G23280,AT1G64380,-64.2931578426795
AT5G15630,AT1G42990,AT1G64380,-64.2931578426795
AT5G15630,AT1G64380,AT4G11140,-64.2931578426795
AT5G15630,AT1G64380,AT4G17500,-64.2931578426795
AT5G15630,AT1G64380,AT4G31550,-64.2931578426795
AT5G15630,AT5G60850,AT5G39610,-65.1955594623885
AT5G15630,AT2G28550,AT1G64380,-66.6285327584932
AT5G15630,AT5G10970,AT1G64380,-66.6285327584932
AT5G15630,AT1G57560,AT1G64380,-66.6285327584932
AT5G15630,AT1G64380,AT5G08330,-66.6285327584932
AT5G15630,AT3G15210,AT1G36060,-81.4949771698415
AT5G15630,AT3G15210,AT1G43160,-81.4949771698415
AT5G15630,AT3G15210,AT2G23340,-81.4949771698415
AT5G15630,AT3G15210,AT3G03660,-81.4949771698415
AT5G15630,AT3G15210,AT3G58190,-81.4949771698415
AT5G15630,AT5G23280,AT3G58190,-81.4949771698415
AT5G15630,AT5G23280,AT1G36060,-81.4949771698416
AT5G15630,AT5G23280,AT1G43160,-81.4949771698416
AT5G15630,AT5G23280,AT2G23340,-81.4949771698416
AT5G15630,AT5G23280,AT3G03660,-81.4949771698416
AT5G15630,AT4G16750,AT1G36060,-82.1881243503959
AT5G15630,AT4G16750,AT1G43160,-82.1881243503959
AT5G15630,AT4G16750,AT1G74840,-82.1881243503959
AT5G15630,AT4G16750,AT2G23340,-82.1881243503959
AT5G15630,AT4G16750,AT3G03660,-82.1881243503959
AT5G15630,AT4G16750,AT3G58190,-82.1881243503959
AT5G15630,AT4G28110,AT5G44260,-83.2867366390622
AT5G15630,AT1G36060,AT3G23240,-83.4408873188873
AT5G15630,AT1G43160,AT3G23240,-83.4408873188873
AT5G15630,AT2G23340,AT3G23240,-83.4408873188873
AT5G15630,AT3G03660,AT3G23240,-83.4408873188873
AT5G15630,AT3G23240,AT3G58190,-83.4408873188873
AT5G15630,AT3G15210,AT1G74840,-83.4408873188945
AT5G15630,AT5G23280,AT1G74840,-83.4408873188945
AT5G15630,AT3G50330,AT3G58190,-83.4408873188945
AT5G15630,AT5G03740,AT3G58190,-83.4408873188945
AT5G15630,AT3G06740,AT3G58190,-83.4408873188945
AT5G15630,AT3G50330,AT1G36060,-83.4408873188945
AT5G15630,AT3G50330,AT1G43160,-83.4408873188945
AT5G15630,AT3G50330,AT2G23340,-83.4408873188945
AT5G15630,AT3G50330,AT3G03660,-83.4408873188945
AT5G15630,AT5G03740,AT1G36060,-83.4408873188945
